"unit","geo","time","values"
"PER_KM2","CH022",2017,197.3
"PER_KM2","CH023",2017,344.1
"PER_KM2","CH024",2017,249.3
"PER_KM2","CH025",2017,87.3
"PER_KM2","CH03",2017,593.1
"PER_KM2","CH031",2017,5374.7
"PER_KM2","CH032",2017,554.9
"PER_KM2","CH033",2017,482.8
"PER_KM2","CH04",2017,904.6
"PER_KM2","CH040",2017,904.6
"PER_KM2","CH05",2017,103.4
"PER_KM2","CH051",2017,59.5
"PER_KM2","CH052",2017,273.9
"PER_KM2","CH053",2017,226.6
"PER_KM2","CH054",2017,93.3
"PER_KM2","CH055",2017,258.7
"PER_KM2","CH056",2017,27.9
"PER_KM2","CH057",2017,316.6
"PER_KM2","CH06",2017,188.7
"PER_KM2","CH061",2017,283.6
"PER_KM2","CH062",2017,34.3
"PER_KM2","CH063",2017,185.7
"PER_KM2","CH064",2017,78.4
"PER_KM2","CH065",2017,177.4
"PER_KM2","CH066",2017,599.4
"PER_KM2","CH07",2017,129.5
"PER_KM2","CH070",2017,129.5
"PER_KM2","CY",2017,93.3
"PER_KM2","CY0",2017,93.3
"PER_KM2","CY00",2017,93.3
"PER_KM2","CY000",2017,93.3
"PER_KM2","CZ",2017,137.2
"PER_KM2","CZ0",2017,137.2
"PER_KM2","CZ01",2017,2654.7
"PER_KM2","CZ010",2017,2654.7
"PER_KM2","CZ02",2017,125.6
"PER_KM2","CZ020",2017,125.6
"PER_KM2","CZ03",2017,71.1
"PER_KM2","CZ031",2017,66.5
"PER_KM2","CZ032",2017,77
"PER_KM2","CZ04",2017,131.9
"PER_KM2","CZ041",2017,91.4
"PER_KM2","CZ042",2017,156.9
"PER_KM2","CZ05",2017,123.2
"PER_KM2","CZ051",2017,141.6
"PER_KM2","CZ052",2017,117.6
"PER_KM2","CZ053",2017,116.2
"PER_KM2","CZ06",2017,123.3
"PER_KM2","CZ063",2017,76.3
"PER_KM2","CZ064",2017,167.9
"PER_KM2","CZ07",2017,133.4
"PER_KM2","CZ071",2017,121.6
"PER_KM2","CZ072",2017,149.2
"PER_KM2","CZ08",2017,227.3
"PER_KM2","CZ080",2017,227.3
"PER_KM2","DE",2017,234
"PER_KM2","DE1",2017,310.8
"PER_KM2","DE11",2017,389.8
"PER_KM2","DE111",2017,3060.1
"PER_KM2","DE112",2017,627.4
"PER_KM2","DE113",2017,827.8
"PER_KM2","DE114",2017,397.9
"PER_KM2","DE115",2017,788.7
"PER_KM2","DE116",2017,493.9
"PER_KM2","DE117",2017,1244.4
"PER_KM2","DE118",2017,308.9
"PER_KM2","DE119",2017,142.9
"PER_KM2","DE11A",2017,130.4
"PER_KM2","DE11B",2017,101.5
"PER_KM2","DE11C",2017,210.1
"PER_KM2","DE11D",2017,206.6
"PER_KM2","DE12",2017,406.3
"PER_KM2","DE121",2017,392.2
"PER_KM2","DE122",2017,1840
"PER_KM2","DE123",2017,413.8
"PER_KM2","DE124",2017,317.5
"PER_KM2","DE125",2017,1497.7
"PER_KM2","DE126",2017,2188.5
"PER_KM2","DE127",2017,127.6
"PER_KM2","DE128",2017,517.6
"PER_KM2","DE129",2017,1264.2
